"last_name, first_name",season,player_id,name_abbrev,team_id,position_name,age,bat_side,seconds_since_hit_000,seconds_since_hit_005,seconds_since_hit_010,seconds_since_hit_015,seconds_since_hit_020,seconds_since_hit_025,seconds_since_hit_030,seconds_since_hit_035,seconds_since_hit_040,seconds_since_hit_045,seconds_since_hit_050,seconds_since_hit_055,seconds_since_hit_060,seconds_since_hit_065,seconds_since_hit_070,seconds_since_hit_075,seconds_since_hit_080,seconds_since_hit_085,seconds_since_hit_090
"Almonte, Abraham",2017,501659,CLE,114,RF,28,R,0,0.56,0.86,1.12,1.36,1.59,1.8,2,2.2,2.39,2.57,2.75,2.92,3.1,3.27,3.44,3.61,3.78,3.96
"Almora Jr., Albert",2017,546991,CHC,112,CF,23,R,0,0.54,0.84,1.1,1.35,1.58,1.79,2,2.19,2.38,2.57,2.75,2.94,3.11,3.29,3.47,3.64,3.82,4.01
"Alonso, Yonder",2017,475174,SEA,136,1B,30,L,0,0.54,0.85,1.15,1.42,1.67,1.9,2.12,2.33,2.54,2.74,2.94,3.14,3.34,3.54,3.75,3.96,4.19,4.44
"Altherr, Aaron",2017,571437,PHI,143,LF,26,R,0,0.53,0.81,1.07,1.31,1.53,1.74,1.94,2.13,2.31,2.49,2.67,2.84,3.02,3.19,3.36,3.53,3.7,3.88
"Altuve, Jose",2017,514888,HOU,117,2B,27,R,0,0.53,0.81,1.05,1.28,1.5,1.7,1.89,2.07,2.25,2.43,2.6,2.77,2.93,3.1,3.27,3.43,3.6,3.78
"Amarista, Alexi",2017,506560,COL,115,,28,L,0,0.54,0.82,1.08,1.33,1.55,1.76,1.97,2.16,2.35,2.54,2.73,2.91,3.09,3.27,3.45,3.64,3.83,4.02
"Anderson, Brian",2017,605119,MIA,146,3B,24,R,0,0.55,0.86,1.13,1.39,1.62,1.84,2.05,2.26,2.45,2.64,2.83,3.02,3.2,3.39,3.57,3.75,3.94,4.14
"Anderson, Tim",2017,641313,CWS,145,SS,24,R,0,0.53,0.82,1.07,1.3,1.52,1.73,1.93,2.12,2.3,2.48,2.65,2.82,3,3.16,3.33,3.5,3.67,3.85
"Andrus, Elvis",2017,462101,TEX,140,SS,28,R,0,0.55,0.84,1.11,1.35,1.58,1.79,1.99,2.19,2.38,2.56,2.75,2.93,3.1,3.28,3.46,3.63,3.81,4
"Aoki, Norichika",2017,493114,NYM,121,LF,35,L,0,0.57,0.88,1.14,1.38,1.61,1.82,2.02,2.22,2.41,2.59,2.77,2.96,3.13,3.31,3.49,3.67,3.85,4.05
"Arcia, Orlando",2017,606115,MIL,158,SS,22,R,0,0.54,0.84,1.12,1.36,1.59,1.8,2,2.2,2.39,2.57,2.76,2.94,3.12,3.3,3.47,3.65,3.84,4.04
"Arenado, Nolan",2017,571448,COL,115,3B,26,R,0,0.56,0.89,1.17,1.43,1.67,1.9,2.12,2.32,2.53,2.73,2.92,3.11,3.31,3.5,3.69,3.88,4.08,4.29
"Arroyo, Christian",2017,624414,SF,137,3B,22,R,0,0.55,0.85,1.11,1.36,1.59,1.81,2.01,2.21,2.41,2.6,2.78,2.97,3.15,3.33,3.5,3.68,3.86,4.05
"Asuaje, Carlos",2017,641319,SD,135,2B,25,L,0,0.53,0.82,1.08,1.32,1.55,1.77,1.98,2.18,2.37,2.56,2.75,2.93,3.12,3.3,3.47,3.65,3.84,4.03
"Avila, Alex",2017,488671,CHC,112,C,30,L,0,0.54,0.86,1.16,1.42,1.67,1.9,2.12,2.34,2.55,2.75,2.95,3.15,3.34,3.54,3.73,3.93,4.13,4.33
"Aviles, Mike",2017,449107,MIA,146,SS,36,R,0,0.54,0.84,1.1,1.35,1.58,1.8,2,2.2,2.39,2.58,2.76,2.94,3.12,3.3,3.47,3.65,3.82,4
"Aybar, Erick",2017,430947,SD,135,SS,33,L,0,0.52,0.82,1.09,1.33,1.56,1.78,1.98,2.18,2.37,2.55,2.74,2.92,3.1,3.27,3.45,3.62,3.81,4
"Aybar, Erick",2017,430947,SD,135,SS,33,R,0,0.55,0.86,1.13,1.38,1.61,1.83,2.04,2.24,2.43,2.62,2.8,2.98,3.16,3.34,3.52,3.69,3.87,4.06
"Bader, Harrison",2017,664056,STL,138,CF,23,R,0,0.56,0.85,1.1,1.33,1.54,1.74,1.94,2.13,2.31,2.48,2.65,2.82,2.99,3.15,3.31,3.48,3.64,3.81
"Bandy, Jett",2017,542908,MIL,158,C,27,R,0,0.55,0.89,1.19,1.46,1.71,1.95,2.18,2.4,2.62,2.83,3.04,3.25,3.46,3.66,3.87,4.08,4.3,4.53
"Barnes, Austin",2017,605131,LAD,119,C,27,R,0,0.53,0.82,1.09,1.33,1.56,1.78,1.99,2.18,2.37,2.56,2.75,2.93,3.11,3.29,3.47,3.65,3.83,4.02
"Barney, Darwin",2017,446381,TOR,141,2B,31,R,0,0.55,0.85,1.11,1.36,1.58,1.8,2,2.2,2.39,2.58,2.76,2.95,3.13,3.31,3.48,3.66,3.84,4.02
"Barnhart, Tucker",2017,571466,CIN,113,C,26,L,0,0.54,0.84,1.12,1.38,1.62,1.84,2.06,2.27,2.47,2.67,2.86,3.06,3.25,3.44,3.63,3.83,4.03,4.24
"Barnhart, Tucker",2017,571466,CIN,113,C,26,R,0,0.56,0.89,1.18,1.44,1.68,1.91,2.13,2.34,2.54,2.74,2.94,3.13,3.33,3.52,3.71,3.91,4.1,4.31
"Bautista, José",2017,430832,TOR,141,RF,36,R,0,0.54,0.86,1.14,1.4,1.64,1.86,2.08,2.29,2.49,2.69,2.89,3.08,3.28,3.47,3.66,3.85,4.04,4.24
"Beckham, Tim",2017,542921,BAL,110,SS,27,R,0,0.55,0.86,1.12,1.37,1.6,1.81,2.01,2.21,2.4,2.59,2.77,2.95,3.12,3.3,3.47,3.65,3.82,4
"Bell, Josh",2017,605137,PIT,134,1B,24,L,0,0.54,0.84,1.1,1.35,1.58,1.8,2.01,2.21,2.4,2.59,2.77,2.96,3.14,3.32,3.5,3.67,3.86,4.05
"Bell, Josh",2017,605137,PIT,134,1B,24,R,0,0.55,0.85,1.12,1.37,1.6,1.82,2.02,2.22,2.42,2.61,2.79,2.97,3.15,3.33,3.51,3.69,3.86,4.05
"Bellinger, Cody",2017,641355,LAD,119,1B,21,L,0,0.54,0.82,1.07,1.3,1.51,1.72,1.91,2.1,2.28,2.46,2.63,2.81,2.98,3.15,3.32,3.49,3.66,3.84
"Belt, Brandon",2017,474832,SF,137,1B,29,L,0,0.54,0.83,1.09,1.34,1.57,1.79,2,2.2,2.39,2.58,2.77,2.95,3.13,3.31,3.49,3.67,3.85,4.05
"Beltrán, Carlos",2017,136860,HOU,117,DH,40,L,0,0.53,0.82,1.09,1.35,1.58,1.8,2.02,2.22,2.42,2.61,2.81,3,3.18,3.37,3.56,3.75,3.94,4.14
"Beltrán, Carlos",2017,136860,HOU,117,DH,40,R,0,0.55,0.86,1.14,1.4,1.64,1.86,2.07,2.28,2.48,2.67,2.87,3.06,3.25,3.44,3.62,3.81,4,4.21
"Beltré, Adrian",2017,134181,TEX,140,3B,38,R,0,0.57,0.89,1.18,1.44,1.69,1.92,2.14,2.36,2.56,2.77,2.97,3.17,3.37,3.57,3.76,3.96,4.16,4.38
"Benintendi, Andrew",2017,643217,BOS,111,LF,22,L,0,0.53,0.81,1.06,1.29,1.51,1.72,1.91,2.1,2.29,2.47,2.64,2.82,2.99,3.17,3.34,3.51,3.69,3.87
"Betts, Mookie",2017,605141,BOS,111,RF,24,R,0,0.53,0.82,1.07,1.31,1.54,1.75,1.94,2.14,2.32,2.5,2.68,2.85,3.03,3.2,3.37,3.54,3.72,3.9
"Bird, Greg",2017,595885,NYY,147,1B,24,L,0,0.55,0.86,1.14,1.4,1.63,1.86,2.07,2.27,2.48,2.67,2.87,3.06,3.25,3.44,3.64,3.83,4.03,4.25
"Blackmon, Charlie",2017,453568,COL,115,CF,30,L,0,0.53,0.81,1.06,1.3,1.52,1.72,1.92,2.11,2.29,2.47,2.65,2.82,3,3.17,3.33,3.5,3.68,3.86
"Blanco, Andrés",2017,433217,PHI,143,2B,33,R,0,0.53,0.83,1.1,1.35,1.59,1.81,2.02,2.22,2.42,2.62,2.81,3,3.18,3.37,3.55,3.74,3.93,4.12
"Blanco, Andrés",2017,433217,PHI,143,2B,33,L,0,0.51,0.8,1.06,1.31,1.54,1.76,1.97,2.17,2.37,2.57,2.76,2.95,3.14,3.34,3.53,3.73,3.94,4.16
"Blanco, Grégor",2017,453923,AZ,109,CF,33,L,0,0.53,0.81,1.06,1.29,1.51,1.71,1.91,2.09,2.28,2.45,2.63,2.8,2.97,3.14,3.31,3.48,3.65,3.83
"Blash, Jabari",2017,518466,SD,135,RF,27,R,0,0.55,0.86,1.13,1.38,1.61,1.82,2.03,2.22,2.42,2.6,2.79,2.97,3.15,3.32,3.5,3.67,3.85,4.03
"Bogaerts, Xander",2017,593428,BOS,111,SS,24,R,0,0.55,0.84,1.11,1.35,1.57,1.78,1.99,2.18,2.37,2.55,2.73,2.91,3.08,3.25,3.43,3.6,3.77,3.96
"Bonifacio, Jorge",2017,593528,KC,118,RF,24,R,0,0.55,0.86,1.12,1.37,1.59,1.8,2,2.2,2.38,2.57,2.74,2.92,3.09,3.27,3.44,3.6,3.78,3.95
"Bour, Justin",2017,571506,MIA,146,1B,29,L,0,0.56,0.88,1.16,1.42,1.67,1.9,2.11,2.33,2.53,2.74,2.94,3.13,3.33,3.53,3.73,3.93,4.15,4.37
"Bourjos, Peter",2017,488721,TB,139,LF,30,R,0,0.53,0.81,1.05,1.28,1.49,1.7,1.89,2.07,2.25,2.42,2.59,2.76,2.93,3.09,3.25,3.41,3.58,3.75
"Bradley Jr., Jackie",2017,598265,BOS,111,CF,27,L,0,0.53,0.81,1.06,1.3,1.53,1.74,1.95,2.14,2.33,2.52,2.7,2.88,3.06,3.24,3.41,3.59,3.77,3.96
"Brantley, Michael",2017,488726,CLE,114,LF,30,L,0,0.51,0.79,1.05,1.29,1.52,1.73,1.94,2.14,2.33,2.52,2.71,2.89,3.08,3.27,3.45,3.65,3.85,4.06
"Braun, Ryan",2017,460075,MIL,158,LF,33,R,0,0.54,0.83,1.09,1.34,1.56,1.78,1.98,2.18,2.37,2.56,2.74,2.93,3.11,3.29,3.47,3.65,3.83,4.02
"Bregman, Alex",2017,608324,HOU,117,3B,23,R,0,0.54,0.83,1.09,1.33,1.56,1.77,1.97,2.17,2.35,2.54,2.72,2.9,3.08,3.25,3.43,3.6,3.78,3.97
"Brinson, Lewis",2017,621446,MIL,158,CF,23,R,0,0.55,0.85,1.11,1.34,1.56,1.77,1.96,2.15,2.33,2.51,2.69,2.86,3.03,3.2,3.37,3.53,3.7,3.87
"Broxton, Keon",2017,542979,MIL,158,CF,27,R,0,0.55,0.83,1.08,1.31,1.53,1.73,1.93,2.11,2.29,2.47,2.64,2.81,2.98,3.14,3.31,3.47,3.63,3.8
"Bruce, Jay",2017,457803,CLE,114,RF,30,L,0,0.53,0.82,1.09,1.34,1.57,1.78,1.99,2.19,2.38,2.57,2.76,2.95,3.13,3.31,3.49,3.68,3.86,4.05
"Brugman, Jaycob",2017,595144,OAK,133,CF,25,L,0,0.54,0.82,1.08,1.32,1.55,1.77,1.98,2.17,2.36,2.55,2.74,2.92,3.1,3.28,3.45,3.63,3.82,4.01
"Bryant, Kris",2017,592178,CHC,112,3B,25,R,0,0.55,0.85,1.11,1.35,1.57,1.78,1.98,2.17,2.35,2.54,2.71,2.89,3.06,3.23,3.4,3.57,3.74,3.92
"Butera, Drew",2017,460077,KC,118,C,33,R,0,0.55,0.86,1.14,1.4,1.65,1.88,2.09,2.3,2.51,2.71,2.91,3.11,3.31,3.5,3.7,3.89,4.1,4.32
"Buxton, Byron",2017,621439,MIN,142,CF,23,R,0,0.53,0.81,1.06,1.28,1.49,1.69,1.88,2.06,2.23,2.4,2.57,2.73,2.9,3.06,3.22,3.38,3.54,3.71
"Báez, Javier",2017,595879,CHC,112,SS,24,R,0,0.55,0.84,1.1,1.34,1.56,1.77,1.96,2.15,2.34,2.52,2.7,2.87,3.04,3.21,3.38,3.55,3.72,3.9
"Cabrera, Asdrúbal",2017,452678,NYM,121,SS,31,R,0,0.56,0.88,1.16,1.42,1.66,1.88,2.1,2.3,2.5,2.7,2.89,3.08,3.27,3.46,3.64,3.83,4.02,4.22
"Cabrera, Asdrúbal",2017,452678,NYM,121,SS,31,L,0,0.53,0.85,1.13,1.39,1.63,1.86,2.07,2.28,2.48,2.68,2.88,3.07,3.27,3.46,3.66,3.86,4.07,4.29
"Cabrera, Melky",2017,466320,KC,118,LF,32,L,0,0.55,0.84,1.11,1.36,1.59,1.81,2.02,2.22,2.41,2.6,2.79,2.98,3.16,3.34,3.53,3.71,3.91,4.11
"Cabrera, Melky",2017,466320,KC,118,LF,32,R,0,0.55,0.86,1.14,1.39,1.63,1.85,2.07,2.27,2.47,2.66,2.85,3.04,3.22,3.41,3.59,3.78,3.97,4.17
"Cabrera, Miguel",2017,408234,DET,116,1B,34,R,0,0.56,0.89,1.18,1.44,1.69,1.92,2.14,2.35,2.55,2.76,2.96,3.15,3.35,3.54,3.74,3.94,4.14,4.35
"Cain, Lorenzo",2017,456715,KC,118,CF,31,R,0,0.55,0.85,1.1,1.34,1.56,1.77,1.97,2.15,2.34,2.51,2.69,2.86,3.03,3.2,3.36,3.53,3.7,3.87
"Calhoun, Kole",2017,594777,LAA,108,RF,29,L,0,0.53,0.82,1.09,1.34,1.58,1.8,2.01,2.21,2.4,2.6,2.79,2.97,3.16,3.34,3.53,3.72,3.91,4.11
"Calhoun, Willie",2017,641432,TEX,140,LF,22,L,0,0.53,0.84,1.12,1.37,1.61,1.83,2.04,2.25,2.45,2.64,2.84,3.03,3.22,3.41,3.59,3.79,3.99,4.2
"Calixte, Orlando",2017,593525,SF,137,LF,25,R,0,0.57,0.87,1.14,1.38,1.61,1.82,2.02,2.21,2.39,2.57,2.75,2.92,3.1,3.27,3.43,3.6,3.76,3.94
"Camargo, Johan",2017,622666,ATL,144,3B,23,L,0,0.53,0.82,1.09,1.33,1.56,1.78,1.98,2.18,2.38,2.57,2.75,2.94,3.12,3.3,3.49,3.68,3.87,4.07
"Candelario, Jeimer",2017,600869,DET,116,3B,23,L,0,0.52,0.81,1.07,1.31,1.54,1.76,1.96,2.16,2.34,2.53,2.71,2.89,3.07,3.24,3.42,3.59,3.76,3.95
"Canha, Mark",2017,592192,OAK,133,CF,28,R,0,0.56,0.86,1.12,1.37,1.59,1.81,2.01,2.21,2.4,2.58,2.76,2.94,3.12,3.3,3.48,3.65,3.83,4
"Canó, Robinson",2017,429664,SEA,136,2B,34,L,0,0.54,0.84,1.12,1.38,1.62,1.84,2.06,2.27,2.47,2.67,2.87,3.06,3.26,3.45,3.65,3.85,4.06,4.28
"Caratini, Victor",2017,605170,CHC,112,C,23,L,0,0.53,0.83,1.11,1.36,1.6,1.82,2.03,2.24,2.44,2.64,2.83,3.02,3.21,3.4,3.59,3.79,3.99,4.22
"Carpenter, Matt",2017,572761,STL,138,1B,31,L,0,0.54,0.85,1.12,1.36,1.59,1.81,2.02,2.22,2.42,2.61,2.8,2.98,3.17,3.35,3.53,3.72,3.91,4.11
"Carrera, Ezequiel",2017,485567,TOR,141,LF,30,L,0,0.53,0.82,1.08,1.32,1.54,1.75,1.95,2.14,2.32,2.5,2.68,2.86,3.03,3.2,3.37,3.54,3.71,3.89
"Carter, Chris",2017,474892,NYY,147,1B,30,R,0,0.56,0.88,1.16,1.42,1.65,1.87,2.08,2.28,2.48,2.67,2.86,3.05,3.23,3.41,3.6,3.78,3.96,4.16
"Castellanos, Nick",2017,592206,DET,116,3B,25,R,0,0.55,0.85,1.11,1.35,1.58,1.79,1.99,2.18,2.37,2.56,2.74,2.92,3.09,3.26,3.43,3.6,3.77,3.95
"Castillo, Welington",2017,456078,BAL,110,C,30,R,0,0.55,0.86,1.14,1.4,1.64,1.86,2.08,2.29,2.49,2.69,2.89,3.09,3.28,3.48,3.67,3.87,4.07,4.28
"Castro, Jason",2017,488771,MIN,142,C,30,L,0,0.54,0.84,1.1,1.36,1.59,1.81,2.02,2.22,2.42,2.61,2.81,2.99,3.18,3.36,3.55,3.74,3.93,4.12
"Castro, Starlin",2017,516770,NYY,147,2B,27,R,0,0.54,0.83,1.09,1.34,1.56,1.78,1.98,2.17,2.36,2.55,2.73,2.91,3.09,3.26,3.44,3.61,3.79,3.99
"Cecchini, Gavin",2017,608325,NYM,121,2B,23,R,0,0.55,0.84,1.1,1.35,1.58,1.79,2,2.19,2.38,2.57,2.75,2.93,3.11,3.29,3.46,3.64,3.82,4.01
"Cervelli, Francisco",2017,465041,PIT,134,C,31,R,0,0.55,0.87,1.15,1.41,1.65,1.87,2.08,2.29,2.49,2.69,2.89,3.08,3.27,3.46,3.65,3.84,4.03,4.23
"Cespedes, Yoenis",2017,493316,NYM,121,LF,31,R,0,0.54,0.84,1.1,1.34,1.57,1.78,1.98,2.17,2.35,2.54,2.71,2.89,3.06,3.24,3.41,3.58,3.76,3.93
"Chapman, Matt",2017,656305,OAK,133,3B,24,R,0,0.53,0.82,1.08,1.32,1.54,1.75,1.95,2.14,2.33,2.51,2.69,2.86,3.04,3.21,3.38,3.55,3.72,3.89
"Chirinos, Robinson",2017,455139,TEX,140,C,33,R,0,0.53,0.84,1.11,1.36,1.6,1.82,2.04,2.25,2.45,2.65,2.84,3.04,3.23,3.43,3.62,3.82,4.03,4.24
"Chisenhall, Lonnie",2017,502082,CLE,114,RF,28,L,0,0.53,0.82,1.08,1.33,1.56,1.78,1.99,2.19,2.38,2.57,2.75,2.94,3.12,3.3,3.48,3.67,3.86,4.06
"Choo, Shin-Soo",2017,425783,TEX,140,RF,34,L,0,0.54,0.83,1.1,1.35,1.58,1.79,2,2.2,2.39,2.58,2.77,2.95,3.13,3.32,3.5,3.69,3.88,4.09
"Coghlan, Chris",2017,458085,TOR,141,3B,32,L,0,0.53,0.82,1.09,1.34,1.57,1.79,2,2.21,2.4,2.6,2.79,2.98,3.17,3.36,3.55,3.73,3.93,4.12
"Collins, Tyler",2017,607385,DET,116,CF,27,L,0,0.52,0.8,1.05,1.29,1.52,1.73,1.92,2.12,2.3,2.48,2.66,2.84,3.01,3.18,3.36,3.53,3.71,3.89
"Colón, Christian",2017,518568,MIA,146,3B,28,R,0,0.56,0.88,1.16,1.42,1.66,1.89,2.1,2.31,2.51,2.71,2.9,3.1,3.29,3.47,3.66,3.85,4.04,4.24
"Conforto, Michael",2017,624424,NYM,121,LF,24,L,0,0.53,0.82,1.08,1.31,1.54,1.75,1.95,2.14,2.33,2.51,2.69,2.87,3.04,3.22,3.39,3.57,3.75,3.94
"Contreras, Willson",2017,575929,CHC,112,C,25,R,0,0.55,0.84,1.1,1.34,1.56,1.78,1.98,2.17,2.36,2.55,2.73,2.91,3.09,3.26,3.44,3.62,3.8,3.99
"Cordero, Franchy",2017,614173,SD,135,CF,22,L,0,0.51,0.79,1.04,1.26,1.48,1.68,1.87,2.05,2.23,2.4,2.57,2.74,2.91,3.07,3.23,3.39,3.55,3.72
"Correa, Carlos",2017,621043,HOU,117,SS,22,R,0,0.54,0.84,1.1,1.34,1.57,1.78,1.98,2.18,2.36,2.55,2.73,2.9,3.08,3.25,3.42,3.6,3.77,3.95
"Cowart, Kaleb",2017,592230,LAA,108,2B,25,L,0,0.52,0.81,1.06,1.31,1.53,1.74,1.94,2.14,2.32,2.51,2.69,2.88,3.06,3.23,3.41,3.6,3.79,3.98
"Cozart, Zack",2017,446359,CIN,113,SS,31,R,0,0.55,0.85,1.12,1.37,1.6,1.82,2.03,2.23,2.42,2.62,2.81,2.99,3.18,3.36,3.55,3.73,3.92,4.12
"Crawford, Brandon",2017,543063,SF,137,SS,30,L,0,0.54,0.85,1.11,1.36,1.59,1.81,2.02,2.22,2.42,2.61,2.8,2.99,3.18,3.36,3.55,3.74,3.94,4.14
"Crawford, J.P.",2017,641487,PHI,143,3B,22,L,0,0.55,0.85,1.11,1.35,1.58,1.79,1.99,2.19,2.38,2.56,2.74,2.92,3.1,3.28,3.45,3.62,3.8,3.99
"Cron, C.J.",2017,543068,LAA,108,1B,27,R,0,0.55,0.86,1.13,1.39,1.62,1.85,2.06,2.26,2.46,2.66,2.85,3.04,3.23,3.42,3.6,3.79,3.97,4.16
"Cruz, Nelson",2017,443558,SEA,136,DH,36,R,0,0.55,0.86,1.14,1.4,1.64,1.87,2.09,2.3,2.5,2.7,2.9,3.09,3.28,3.47,3.66,3.85,4.05,4.25
"Cuthbert, Cheslor",2017,596144,KC,118,3B,24,R,0,0.54,0.85,1.12,1.37,1.61,1.83,2.05,2.25,2.45,2.65,2.84,3.03,3.22,3.41,3.6,3.79,3.99,4.2
"Córdoba, Allen",2017,642707,SD,135,LF,21,R,0,0.55,0.84,1.09,1.33,1.55,1.76,1.95,2.14,2.33,2.51,2.68,2.86,3.03,3.2,3.36,3.53,3.69,3.86
"Davidson, Matt",2017,571602,CWS,145,DH,26,R,0,0.56,0.87,1.14,1.4,1.64,1.87,2.08,2.29,2.5,2.7,2.89,3.09,3.28,3.48,3.67,3.86,4.06,4.26
"Davis, Chris",2017,448801,BAL,110,1B,31,L,0,0.53,0.84,1.12,1.37,1.61,1.84,2.05,2.26,2.46,2.66,2.86,3.05,3.25,3.44,3.63,3.82,4.02,4.22
"Davis, J.D.",2017,605204,HOU,117,3B,24,R,0,0.53,0.82,1.09,1.34,1.57,1.79,1.99,2.2,2.39,2.58,2.77,2.95,3.14,3.32,3.5,3.68,3.86,4.05
"Davis, Khris",2017,501981,OAK,133,LF,29,R,0,0.55,0.85,1.12,1.37,1.6,1.82,2.03,2.23,2.42,2.61,2.8,2.99,3.17,3.35,3.54,3.72,3.91,4.11
"Davis, Rajai",2017,434658,BOS,111,CF,36,R,0,0.54,0.82,1.07,1.3,1.52,1.73,1.92,2.11,2.29,2.47,2.64,2.81,2.98,3.15,3.31,3.47,3.64,3.8
"DeJong, Paul",2017,657557,STL,138,SS,23,R,0,0.53,0.83,1.08,1.32,1.54,1.74,1.94,2.13,2.31,2.5,2.67,2.85,3.02,3.19,3.36,3.53,3.71,3.88
"DeShields, Delino",2017,592261,TEX,140,LF,24,R,0,0.54,0.82,1.06,1.29,1.5,1.7,1.89,2.07,2.25,2.42,2.58,2.75,2.91,3.08,3.23,3.39,3.55,3.72
"Delmonico, Nicky",2017,547170,CWS,145,LF,24,L,0,0.52,0.81,1.07,1.32,1.55,1.76,1.96,2.16,2.35,2.53,2.72,2.9,3.07,3.25,3.43,3.6,3.78,3.97
"Descalso, Daniel",2017,518614,AZ,109,2B,30,L,0,0.54,0.84,1.1,1.34,1.57,1.78,1.99,2.18,2.37,2.56,2.74,2.92,3.1,3.28,3.45,3.63,3.82,4.01
"Desmond, Ian",2017,435622,COL,115,LF,31,R,0,0.54,0.84,1.1,1.34,1.57,1.78,1.98,2.18,2.36,2.55,2.73,2.91,3.08,3.26,3.43,3.61,3.78,3.97
"Devers, Rafael",2017,646240,BOS,111,3B,20,L,0,0.54,0.83,1.1,1.34,1.57,1.78,1.98,2.18,2.36,2.55,2.73,2.9,3.08,3.26,3.43,3.61,3.79,3.98
"Dickerson, Corey",2017,572816,TB,139,LF,28,L,0,0.54,0.84,1.09,1.33,1.56,1.77,1.97,2.17,2.35,2.54,2.72,2.9,3.08,3.25,3.43,3.61,3.8,3.99
"Dietrich, Derek",2017,518618,MIA,146,3B,27,L,0,0.54,0.83,1.09,1.33,1.56,1.78,1.98,2.18,2.37,2.56,2.75,2.93,3.11,3.29,3.47,3.65,3.84,4.03
"Difo, Wilmer",2017,594694,WSH,120,SS,25,L,0,0.54,0.83,1.08,1.31,1.53,1.73,1.93,2.11,2.29,2.47,2.65,2.82,2.99,3.16,3.33,3.49,3.67,3.85
"Difo, Wilmer",2017,594694,WSH,120,SS,25,R,0,0.54,0.83,1.08,1.31,1.53,1.74,1.93,2.12,2.3,2.48,2.66,2.83,3,3.17,3.34,3.5,3.68,3.85
"Donaldson, Josh",2017,518626,TOR,141,3B,31,R,0,0.54,0.84,1.11,1.36,1.59,1.81,2.02,2.23,2.42,2.61,2.8,2.99,3.17,3.36,3.54,3.72,3.9,4.09
"Dozier, Brian",2017,572821,MIN,142,2B,30,R,0,0.54,0.83,1.09,1.33,1.56,1.77,1.97,2.17,2.36,2.54,2.73,2.91,3.09,3.27,3.45,3.63,3.81,4.01
"Drew, Stephen",2017,452220,WSH,120,SS,34,L,0,0.53,0.83,1.1,1.35,1.58,1.81,2.02,2.22,2.42,2.61,2.81,3,3.2,3.4,3.6,3.8,4.02,4.25
"Drury, Brandon",2017,592273,AZ,109,2B,24,R,0,0.55,0.86,1.13,1.38,1.62,1.84,2.05,2.25,2.44,2.63,2.82,3.01,3.19,3.37,3.55,3.74,3.92,4.11
